"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","15","1","15","0.0011","0.09","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","38","1","38","0.0011447368421052637","0.09","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","16","1","16","0.0013125000000000003","0.09","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","8","1","8","9.375000000000001E-4","0.09","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","31","1","31","0.0023548387096774207","0.09","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","16","1","16","0.0013437500000000003","0.09","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","11","1","11","0.001363636363636364","0.09","5.979"
"7","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","10","1","10","0.0011500000000000004","0.09","5.979"
"10","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","8","1","8","8.750000000000001E-4","0.09","5.979"
"9","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","22","1","22","9.545454545454549E-4","0.09","5.979"
"12","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","13","1","13","0.0018076923076923083","0.09","5.979"
"11","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","23","1","23","8.913043478260871E-4","0.09","5.979"
"13","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","4","1","4","7.5E-4","0.09","5.979"
"14","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","16","1","16","0.0012500000000000002","0.09","5.979"
"16","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","7","1","7","0.0012142857142857144","0.09","5.979"
"15","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","12","1","12","0.002208333333333333","0.09","5.979"
"17","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","4","1","4","0.001","0.09","5.979"
"18","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","25","1","25","0.0015200000000000007","0.09","5.979"
"21","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","12","1","12","0.0012500000000000002","0.09","5.979"
"20","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","16","1","16","9.375000000000002E-4","0.09","5.979"
"19","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","26","1","26","0.0011538461538461544","0.09","5.979"
"22","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","12","1","12","0.0012083333333333336","0.09","5.979"
"23","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","6","1","6","9.166666666666666E-4","0.09","5.979"
"24","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.018","12","1","12","7.083333333333337E-4","0.09","5.979"
"27","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","16","1","16","0.0015312500000000005","0.1","5.979"
"26","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","9","1","9","9.444444444444445E-4","0.1","5.979"
"25","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","21","1","21","0.001928571428571429","0.1","5.979"
"28","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","7","1","7","0.0010714285714285715","0.1","5.979"
"29","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","3","1","3","6.666666666666666E-4","0.1","5.979"
"30","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","39","1","39","7.692307692307698E-4","0.1","5.979"
"33","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","7","1","7","0.0010714285714285715","0.1","5.979"
"31","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","45","1","45","8.55555555555556E-4","0.1","5.979"
"32","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","23","1","23","7.826086956521742E-4","0.1","5.979"
"34","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","34","1","34","7.794117647058826E-4","0.1","5.979"
