"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","12","1","12","0.0015833333333333335","0.09","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","10","1","10","0.0017500000000000003","0.09","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","19","1","19","0.0019736842105263163","0.09","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","12","1","12","0.0015000000000000005","0.09","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","9","1","9","0.0015555555555555557","0.09","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","13","1","13","0.0015384615384615387","0.09","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","14","1","14","0.001571428571428572","0.09","5.979"
"7","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","5","1","5","0.0024000000000000002","0.09","5.979"
"9","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","10","1","10","0.0010000000000000002","0.09","5.979"
"12","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","7","1","7","0.0020000000000000005","0.09","5.979"
"11","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","11","1","11","0.0017272727272727275","0.09","5.979"
"10","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","13","1","13","0.0013076923076923079","0.09","5.979"
"15","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","14","1","14","0.001535714285714286","0.09","5.979"
"14","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","12","1","12","0.0025416666666666665","0.09","5.979"
"13","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","14","1","14","0.0011785714285714288","0.09","5.979"
"16","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","14","1","14","0.002178571428571429","0.09","5.979"
"18","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","4","1","4","0.0016250000000000001","0.09","5.979"
"17","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","16","1","16","0.0015625000000000005","0.09","5.979"
"19","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","8","1","8","0.0015625","0.09","5.979"
"20","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","6","1","6","0.0015833333333333335","0.09","5.979"
"21","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","18","1","18","0.0015000000000000005","0.09","5.979"
"22","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","5","1","5","0.0018","0.09","5.979"
"23","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","16","1","16","0.0010000000000000002","0.09","5.979"
"24","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.018","10","1","10","0.0019000000000000002","0.09","5.979"
"25","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","14","1","14","0.0012142857142857146","0.1","5.979"
"26","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","18","1","18","0.001388888888888889","0.1","5.979"
"27","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","10","1","10","0.0014500000000000006","0.1","5.979"
"29","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","13","1","13","0.0019230769230769236","0.1","5.979"
