"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"07-baseline-ER-lognormal-Tang"
"06/17/2026 17:16:22:190 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","8","1","8","9.375E-4","0.09","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","6","1","6","7.500000000000001E-4","0.09","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","11","1","11","7.272727272727274E-4","0.09","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","9","1","9","0.0010555555555555557","0.09","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","15","1","15","7.333333333333336E-4","0.09","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","78","1","78","8.589743589743595E-4","0.09","5.979"
"11","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","3","1","3","0.001","0.09","5.979"
"7","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","24","1","24","6.875000000000003E-4","0.09","5.979"
"9","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","23","1","23","0.0013260869565217396","0.09","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","34","1","34","7.058823529411768E-4","0.09","5.979"
"12","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","8","1","8","0.0010625","0.09","5.979"
"10","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","75","1","75","9.000000000000006E-4","0.09","5.979"
"14","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","14","1","14","0.0013928571428571432","0.09","5.979"
"13","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","12","1","12","6.66666666666667E-4","0.09","5.979"
"16","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","24","1","24","0.0011458333333333338","0.09","5.979"
"15","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","34","1","34","0.0016911764705882359","0.09","5.979"
"17","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.018","4","1","4","7.5E-4","0.09","5.979"
