"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"08-dynamics-trajectory-ER"
"06/17/2026 17:45:00:344 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","recovery-distribution","power-law-lambda","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-prev-grp","bs-out-prev-mf","bs-out-count-S","bs-out-count-I","bs-out-mean-degree"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","1","0.0025","0.0023876634125000002","1995","5","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","1","0.0015","0.0023876634125000002","1997","3","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","1","0.003","0.0023876634125000002","1994","6","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","2","0.002","0.002280416324733006","1996","4","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","2","0.002","0.002280416324733006","1996","4","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","2","0.003","0.002280416324733006","1994","6","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","3","0.002","0.002178024491910692","1996","4","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","3","0.0025","0.002178024491910692","1995","5","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","3","0.002","0.002178024491910692","1996","4","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","4","0.0015","0.002080264771656525","1997","3","5.979"
"1","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","4","0.0015","0.002080264771656525","1997","3","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","4","0.0015","0.002080264771656525","1997","3","5.979"
"4","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","5","0.0015","0.0019869245697169934","1997","3","5.979"
